 t(yr) LimitsTHETA(1) THETA(2) THETA(3) SALT(1)  SALT(2)  SALT(3)  DIC(1)   DIC(2)   DIC(3)   ALK(1)   ALK(2)   ALK(3)   PO4(1)   PO4(2)   PO4(3)   NO3(1)   NO3(2)   NO3(3)   FeT(1)   FeT(2)   FeT(3)   LT(1)    LT(2)    LT(3)    Exp(1)   Exp(2)   EXP(3)   P*  OCPCO2(1) OCPCO2(2)  OCPCO2(3) ATPCO2
    5300 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2377.98686 2280.51050 2285.16955 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.09529  774.51135  341.31287  778.58182
    5400 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2377.99784 2280.52507 2285.15867 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.17797  774.59411  341.28267  778.66712
    5500 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.00760 2280.53802 2285.14899 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.25149  774.66771  341.25582  778.74298
    5600 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.01628 2280.54954 2285.14039 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.31687  774.73316  341.23195  778.81043
    5700 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.02400 2280.55978 2285.13274 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.37501  774.79136  341.21072  778.87042
    5800 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.03087 2280.56888 2285.12593 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.42671  774.84312  341.19184  778.92377
    5900 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.03697 2280.57698 2285.11988 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.47269  774.88915  341.17506  778.97121
    6000 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.04240 2280.58418 2285.11450 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.51358  774.93008  341.16013  779.01340
    6100 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.04723 2280.59058 2285.10972 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.54994  774.96648  341.14686  779.05091
    6200 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2378.05152 2280.59627 2285.10546 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.58228  774.99885  341.13505  779.08428
